Date,Open,High,Low,Close,Adj Close,Volume,Nombre
2021-10-20,1608.0,1614.449951171875,1580.4300537109375,1604.010009765625,1604.010009765625,228400,MELI
2021-10-20,170.97000122070312,171.02000427246094,169.8800048828125,170.5500030517578,170.5500030517578,9725800,DIS
2021-10-20,268.79998779296875,270.75,265.3999938964844,269.6000061035156,269.6000061035156,1994,ADS.SG
2021-10-20,865.3499755859375,869.489990234375,857.3800048828125,865.7999877929688,865.7999877929688,13791700,TSLA
2021-10-20,625.5700073242188,637.4000244140625,617.1500244140625,625.1400146484375,625.1400146484375,10602200,NFLX
